,PMBBILAN,PMBMOD,PMBBR,PMBPOL,PMBPRVMAT,PMBPBEN,PMBREC,PMBRECCPL,PMBCAPIT,PMBPBEX,PMBTXINT,POLTBMORT,PMBFRACT,PMBAGE,POLTARIF,PMBPMNZILL,PMBRACHAT,POLDURC,POLDURP,POLDTDEB,POLDTEXP,POLPRTOT,POLPRVIEHT,POLPRTECH,POLTAXE,POLPREPARG,POLPRDECES,POLNBTETE,POLSEXASS1,POLSEXASS2,POLINTERG,POLRISQ1,POLTETE11,POLTETE21,POLTARIF1,POLSURPR1,POLSURMOR1,POLPRCPL1,POLRISQ2,POLTETE12,POLTETE22,POLTARIF2,POLSURPR2,POLSURMOR2,POLPRCPL2,POLRISQ3,POLTETE13,POLTETE23,POLTARIF3,POLSURMOR3,POLPRCPL3,POLRISQ4,POLTETE14,POLTETE24,POLTARIF4,POLSURPR4,POLSURMOR4,POLPRCPL4,POLRISQ5,POLTETE15,POLTETE25,POLTARIF5,POLSURPR5,POLSURMOR5,POLPRCPL5,POLRISQ6,POLTETE16,POLTETE26,POLTARIF6,POLSURPR6,POLSURMOR6,POLPRCPL6,POLRISQA,POLTETE1A,POLTETE2A,POLTARIFA,POLSURPRA,POLSURMORA,POLPRCPLA,POLPRCPL9,POLPRCPL8,POLINDEX,POLDEVCAP,POLCAPAUT,POLSIT,CLIDTNAISS,CLIDTNAISS2
0,2018.0,2.0,5.0,301.0,14104.7,122.4,51.3,27.5,30000.0,0.0,3.5,GKM1995   ,2.0,21.0,A  ,14607.3,14026.3,35.0,35.0,19970201.0,20320131.0,1070.2,701.2,611.8,0.0,434.7,252.7,1.0,M, ,3.5,0201,X, ,A  ,0.0,0.0,92.1,    , , ,   ,0.0,0.0,0.0,0203,X, ,A  ,0.0,91.8,0204,X, ,A  ,0.0,0.0,32.1,    , , ,   ,0.0,0.0,0.0,0206,X, ,A  ,0.0,0.0,153.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,30000.0,0.0,19670728.0,0.0
1,2018.0,2.0,5.0,2501.0,12024.1,100.2,0.0,0.0,20000.0,0.0,3.5,GKM1995   ,12.0,21.0,A  ,12306.8,11955.7,30.0,30.0,19970301.0,20270228.0,1064.0,592.8,502.5,0.0,374.3,190.3,2.0,M,F,3.5,0201,X,X,A  ,0.0,0.0,82.0,0000, , ,   ,0.0,0.0,0.0,0203,X,X,A  ,0.0,126.0,0204,X,X,A  ,0.0,0.0,53.2,    , , ,   ,0.0,0.0,0.0,0206,X,X,A  ,0.0,0.0,210.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,20000.0,0.0,19690206.0,19720924.0
2,2018.0,2.0,5.0,3101.0,12024.6,98.4,0.0,0.0,20000.0,0.0,3.5,GKF1995   ,12.0,21.0,A  ,12297.7,11955.9,30.0,30.0,19970401.0,20270331.0,789.9,555.3,470.62,0.0,0.0,0.0,1.0,F, ,3.5,0201,X, ,A  ,0.0,0.0,42.9,0000, , ,   ,0.0,0.0,0.0,0203,X, ,A  ,0.0,63.0,0204,X, ,A  ,0.0,0.0,23.7,    , , ,   ,0.0,0.0,0.0,0206,X, ,A  ,0.0,0.0,105.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,20000.0,0.0,19600910.0,0.0
3,2018.0,2.0,5.0,3201.0,413.5,47.4,0.0,0.0,687.5,0.0,3.5,GKM1995   ,0.0,21.0,A  ,413.5,412.6,40.0,40.0,19970401.0,20370331.0,241.6,221.8,197.4,5.5,197.4,24.4,1.0,M, ,3.5,0201,X, ,A  ,0.0,0.0,1.7,0000, , ,   ,0.0,0.0,0.0,0203,X, ,A  ,0.0,2.1,0204,X, ,A  ,0.0,0.0,7.1,    , , ,   ,0.0,0.0,0.0,0206,X, ,A  ,0.0,0.0,3.4,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,687.5,9.0,19790428.0,0.0
4,2018.0,2.0,5.0,3801.0,18025.6,151.8,0.0,0.0,30000.0,0.0,3.5,GKM1995   ,12.0,21.0,A  ,18459.9,17925.8,30.0,30.0,19970401.0,20270331.0,1682.1,929.6,787.84,0.0,0.0,0.0,2.0,M,F,3.5,0201,X,X,A  ,0.0,0.0,164.4,0000, , ,   ,0.0,0.0,0.0,0203,X,X,A  ,0.0,189.0,0204,X,X,A  ,0.0,0.0,84.1,    , , ,   ,0.0,0.0,0.0,0206,X,X,A  ,0.0,0.0,315.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,30000.0,0.0,19621111.0,19641010.0
5,2018.0,2.0,5.0,5001.0,17831.2,137.3,0.0,0.0,30000.0,0.0,3.5,GKF1995   ,12.0,21.0,A  ,18247.5,17728.1,30.0,30.0,19970601.0,20270531.0,1182.8,831.7,705.0,0.0,561.5,230.6,1.0,F, ,3.5,0201,X, ,A  ,0.0,0.0,63.6,    , , ,   ,0.0,0.0,0.0,0203,X, ,A  ,0.0,94.5,0204,X, ,A  ,0.0,0.0,35.5,    , , ,   ,0.0,0.0,0.0,0206,X, ,A  ,0.0,0.0,157.5,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,30000.0,0.0,19710618.0,0.0
6,2018.0,9.0,11.0,6201.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995   ,1.0,21.0,B  ,0.0,0.0,32.0,32.0,19970201.0,20290201.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,1.0,19630528.0,19660217.0
7,2018.0,8.0,11.0,6401.0,0.0,0.0,10.0,0.0,7500.0,0.0,0.0,GKM1995   ,1.0,21.0,A  ,0.0,0.0,33.0,33.0,19970201.0,20300201.0,150.0,150.0,120.0,0.0,0.0,120.0,2.0,M,F,0.0,0000, , ,   ,0.0,0.0,0.0,0000, , ,   ,0.0,0.0,0.0,0000, , ,   ,0.0,0.0,0000, , ,   ,0.0,0.0,0.0,0000, , ,   ,0.0,0.0,0.0,0000, , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,3.0,19641213.0,19650212.0
8,2018.0,9.0,11.0,202.0,0.0,0.0,16.0,0.0,15000.0,0.0,0.0,GKM1995   ,1.0,21.0,A  ,0.0,0.0,38.0,38.0,19970203.0,20350202.0,240.0,240.0,192.0,0.0,0.0,192.0,2.0,M,F,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,500.0,1.0,19691005.0,19710223.0
9,2018.0,2.0,5.0,7401.0,15976.5,124.2,0.0,0.0,20000.0,0.0,3.5,GKF1995   ,12.0,21.0,A  ,16131.5,15884.5,25.0,25.0,19970601.0,20220531.0,940.0,700.0,593.3,0.0,496.1,170.5,1.0,F, ,3.5,0201,X, ,A  ,0.0,0.0,43.8,0000, , ,   ,0.0,0.0,0.0,0203,X, ,A  ,0.0,63.0,0204,X, ,A  ,0.0,0.0,28.2,    , , ,   ,0.0,0.0,0.0,0206,X, ,A  ,0.0,0.0,105.0,    , , ,   ,0.0,0.0,0.0,0.0,0.0,0.0,CHF ,20000.0,0.0,19660201.0,0.0
